word,target_word,ambiguity_type,cosine_M1,cosine_M2,cosine_diff_M1_M2,model
home,home,Polysemy,0.2667037844657898,0.12928317114710808,0.13742061331868172,EleutherAI/pythia-14m
intelligence,intelligence,Polysemy,-0.0021940208971500397,0.1287669539451599,-0.13096097484230995,EleutherAI/pythia-14m
issue,issue,Polysemy,0.07538917381316423,-0.039396800100803375,0.11478597391396761,EleutherAI/pythia-14m
jam,jam,Homonymy,0.17721882462501526,0.020395098254084587,0.15682372637093067,EleutherAI/pythia-14m
key,key,Polysemy,0.10385269671678543,0.10088390111923218,0.002968795597553253,EleutherAI/pythia-14m
lamb,lamb,Polysemy,0.0373301412910223,-0.048814915120601654,0.08614505641162395,EleutherAI/pythia-14m
lap,lapped,Homonymy,0.08397827297449112,0.010035425424575806,0.07394284754991531,EleutherAI/pythia-14m
load,loaded,Polysemy,0.05194608122110367,0.15284913405776024,-0.10090305283665657,EleutherAI/pythia-14m
lock,locks,Homonymy,0.06935270130634308,0.188961423933506,-0.11960872262716293,EleutherAI/pythia-14m
lunch,lunch,Polysemy,0.17914309352636337,0.20195282995700836,-0.02280973643064499,EleutherAI/pythia-14m
market,market,Polysemy,0.11938566993921995,0.24490690231323242,-0.12552123237401247,EleutherAI/pythia-14m
match,match,Homonymy,-0.014263796620070934,0.08765395730733871,-0.10191775392740965,EleutherAI/pythia-14m
medicine,medicine,Polysemy,0.24154063314199448,0.31187887489795685,-0.07033824175596237,EleutherAI/pythia-14m
message,message,Polysemy,0.23841118812561035,0.11010534316301346,0.1283058449625969,EleutherAI/pythia-14m
mold,mold,Homonymy,0.059561893343925476,0.14392753317952156,-0.08436563983559608,EleutherAI/pythia-14m
mole,mole,Homonymy,0.02605881169438362,0.014049321878701448,0.012009489815682173,EleutherAI/pythia-14m
movement,movement,Polysemy,0.05289948359131813,0.06580629572272301,-0.012906812131404877,EleutherAI/pythia-14m
newspaper,newspaper,Polysemy,0.22657530009746552,0.08649381622672081,0.1400814838707447,EleutherAI/pythia-14m
orange,orange,Polysemy,0.1054125651717186,0.14420830085873604,-0.03879573568701744,EleutherAI/pythia-14m
page,page,Homonymy,-0.0639188103377819,0.03383203223347664,-0.09775084257125854,EleutherAI/pythia-14m
palm,palm,Homonymy,0.025587130337953568,-0.05116884782910347,0.07675597816705704,EleutherAI/pythia-14m
panel,panel,Polysemy,0.14486246183514595,0.13574329763650894,0.009119164198637009,EleutherAI/pythia-14m
passage,passage,Polysemy,0.09258667752146721,0.02192255947738886,0.07066411804407835,EleutherAI/pythia-14m
pen,penned,Homonymy,-0.026597503572702408,0.030937649309635162,-0.05753515288233757,EleutherAI/pythia-14m
perch,perch,Homonymy,0.08538241684436798,0.07841375470161438,0.006968662142753601,EleutherAI/pythia-14m
pick,picked,Polysemy,0.05288243945688009,-0.014788251370191574,0.06767069082707167,EleutherAI/pythia-14m
pitcher,pitcher,Homonymy,0.07008271850645542,0.08934069238603115,-0.01925797387957573,EleutherAI/pythia-14m
poach,poached,Homonymy,0.0395082700997591,0.10868821665644646,-0.06917994655668736,EleutherAI/pythia-14m
port,port,Homonymy,0.12091543152928352,0.08219489455223083,0.03872053697705269,EleutherAI/pythia-14m
position,position,Polysemy,0.10953647643327713,-0.06050822697579861,0.17004470340907574,EleutherAI/pythia-14m
post,post,Homonymy,0.04851300083100796,-0.04622163251042366,0.09473463334143162,EleutherAI/pythia-14m
punch,punch,Homonymy,0.12942491471767426,0.1766171082854271,-0.04719219356775284,EleutherAI/pythia-14m
pupil,pupil,Homonymy,0.1825205646455288,0.11334796249866486,0.06917260214686394,EleutherAI/pythia-14m
push,pushed,Polysemy,0.05662917159497738,0.09262274205684662,-0.03599357046186924,EleutherAI/pythia-14m
racket,racket,Homonymy,0.17409467697143555,0.019257165491580963,0.15483751147985458,EleutherAI/pythia-14m
rock,rock,Homonymy,-0.0037786979228258133,0.2840561419725418,-0.2878348398953676,EleutherAI/pythia-14m
run,ran,Polysemy,0.15373356640338898,0.18920402973890305,-0.03547046333551407,EleutherAI/pythia-14m
sage,sage,Homonymy,0.0833454318344593,0.09790996089577675,-0.014564529061317444,EleutherAI/pythia-14m
scale,scale,Homonymy,0.09282585605978966,0.060645557940006256,0.0321802981197834,EleutherAI/pythia-14m
scene,scene,Polysemy,0.04489748738706112,0.14555269666016102,-0.1006552092730999,EleutherAI/pythia-14m
seal,seal,Homonymy,0.08383231237530708,0.06701785698533058,0.0168144553899765,EleutherAI/pythia-14m
serve,served,Polysemy,-0.04071990493685007,0.060927209444344044,-0.10164711438119411,EleutherAI/pythia-14m
sing,sang,Polysemy,0.27037160843610764,0.158605195581913,0.11176641285419464,EleutherAI/pythia-14m
spill,spilled,Polysemy,0.15095516294240952,0.16622930020093918,-0.015274137258529663,EleutherAI/pythia-14m
stake,staked,Polysemy,0.04547856003046036,0.013355413684621453,0.032123146345838904,EleutherAI/pythia-14m
stall,stalled,Polysemy,0.053556669503450394,0.025562340393662453,0.02799432910978794,EleutherAI/pythia-14m
stay,stayed,Polysemy,0.17750973254442215,0.1547190099954605,0.02279072254896164,EleutherAI/pythia-14m
tap,tapped,Homonymy,0.0007579103112220764,0.20571935921907425,-0.20496144890785217,EleutherAI/pythia-14m
tape,tape,Polysemy,0.000702517107129097,0.13198333978652954,-0.13128082267940044,EleutherAI/pythia-14m
term,term,Polysemy,0.005638123489916325,0.08448655903339386,-0.07884843554347754,EleutherAI/pythia-14m
tick,tick,Homonymy,0.1721849888563156,0.07245367020368576,0.09973131865262985,EleutherAI/pythia-14m
tip,tip,Homonymy,0.017928946763277054,0.21101123094558716,-0.1930822841823101,EleutherAI/pythia-14m
title,title,Polysemy,0.20227956771850586,0.16768667101860046,0.034592896699905396,EleutherAI/pythia-14m
toast,toasted,Homonymy,0.0452192984521389,0.03336107358336449,0.011858224868774414,EleutherAI/pythia-14m
toll,toll,Homonymy,-0.01195470243692398,-0.03637364134192467,0.024418938905000687,EleutherAI/pythia-14m
track,tracks,Polysemy,0.11401054449379444,-0.08215358853340149,0.19616413302719593,EleutherAI/pythia-14m
yard,yards,Homonymy,0.16445443779230118,0.002130037173628807,0.16232440061867237,EleutherAI/pythia-14m
