word,target_word,ambiguity_type,cosine_M1,cosine_M2,cosine_diff_M1_M2,model
act,act,Polysemy,0.07419564388692379,0.10683814808726311,-0.03264250420033932,EleutherAI/pythia-14m
appeal,appeal,Polysemy,0.08685066364705563,0.09689798951148987,-0.010047325864434242,EleutherAI/pythia-14m
atmosphere,atmosphere,Polysemy,0.16901901364326477,0.17793911695480347,-0.008920103311538696,EleutherAI/pythia-14m
bail,bailed,Homonymy,0.0418852549046278,-0.022249996196478605,0.0641352511011064,EleutherAI/pythia-14m
band,band,Homonymy,0.1921827718615532,0.22357483208179474,-0.03139206022024155,EleutherAI/pythia-14m
bank,banked,Homonymy,-0.023178018629550934,0.1573285162448883,-0.18050653487443924,EleutherAI/pythia-14m
barrier,barrier,Polysemy,0.06455619027838111,0.11626335978507996,-0.05170716950669885,EleutherAI/pythia-14m
bat,bat,Homonymy,0.03903376683592796,0.099177997559309,-0.06014423072338104,EleutherAI/pythia-14m
beam,beam,Polysemy,0.19088990427553654,0.09845878556370735,0.09243111871182919,EleutherAI/pythia-14m
block,block,Polysemy,0.02538556419312954,0.05183141678571701,-0.02644585259258747,EleutherAI/pythia-14m
blood,blood,Polysemy,-0.05506778974086046,0.04063629824668169,-0.09570408798754215,EleutherAI/pythia-14m
board,board,Polysemy,0.050993431359529495,0.17032763734459877,-0.11933420598506927,EleutherAI/pythia-14m
book,book,Polysemy,0.19222063198685646,0.07811534404754639,0.11410528793931007,EleutherAI/pythia-14m
break,broke,Polysemy,-0.048009900376200676,0.07090956717729568,-0.11891946755349636,EleutherAI/pythia-14m
breakfast,breakfast,Polysemy,0.19899621792137623,0.12688839808106422,0.072107819840312,EleutherAI/pythia-14m
call,called,Polysemy,-0.03144913539290428,-0.0145400520414114,-0.016909083351492882,EleutherAI/pythia-14m
cape,cape,Homonymy,0.1591479852795601,0.01517111761495471,0.14397686766460538,EleutherAI/pythia-14m
case,case,Homonymy,0.03314656391739845,0.025237008929252625,0.007909554988145828,EleutherAI/pythia-14m
cast,cast,Polysemy,0.16434038802981377,0.1823929026722908,-0.018052514642477036,EleutherAI/pythia-14m
cause,cause,Polysemy,0.059920892119407654,0.10824166983366013,-0.04832077771425247,EleutherAI/pythia-14m
cell,cell,Polysemy,0.2625182271003723,0.1381715927273035,0.12434663437306881,EleutherAI/pythia-14m
charm,charm,Polysemy,0.1749836727976799,0.17961906641721725,-0.0046353936195373535,EleutherAI/pythia-14m
check,checked,Polysemy,0.004805043805390596,0.07254618778824806,-0.06774114398285747,EleutherAI/pythia-14m
chicken,chicken,Polysemy,0.23901313915848732,0.13191090524196625,0.10710223391652107,EleutherAI/pythia-14m
class,class,Polysemy,-0.0014892546460032463,-0.025172017514705658,0.02368276286870241,EleutherAI/pythia-14m
clear,cleared,Polysemy,0.09347895532846451,0.10632422659546137,-0.01284527126699686,EleutherAI/pythia-14m
clip,clip,Homonymy,0.2645765393972397,0.17288650944828987,0.09169002994894981,EleutherAI/pythia-14m
clog,clogged,Polysemy,0.0662829726934433,0.1712265908718109,-0.10494361817836761,EleutherAI/pythia-14m
cold,cold,Polysemy,0.4268554747104645,0.06683511566370726,0.3600203590467572,EleutherAI/pythia-14m
column,column,Polysemy,-0.014049461111426353,-0.02516022976487875,0.011110768653452396,EleutherAI/pythia-14m
company,company,Polysemy,0.17315790057182312,0.06986109726130962,0.1032968033105135,EleutherAI/pythia-14m
cone,cone,Polysemy,0.16523908078670502,0.2498747706413269,-0.08463568985462189,EleutherAI/pythia-14m
contribution,contribution,Polysemy,0.022725436836481094,-0.019860485568642616,0.04258592240512371,EleutherAI/pythia-14m
count,count,Homonymy,-0.02735535427927971,0.01178732281550765,-0.03914267709478736,EleutherAI/pythia-14m
course,course,Polysemy,0.07290358236059546,0.12098883464932442,-0.04808525228872895,EleutherAI/pythia-14m
cross,crossed,Polysemy,0.2023170068860054,0.07791536301374435,0.12440164387226105,EleutherAI/pythia-14m
date,date,Polysemy,0.07120986841619015,0.17820163071155548,-0.10699176229536533,EleutherAI/pythia-14m
degree,degrees,Polysemy,0.12593621388077736,0.07375555112957954,0.052180662751197815,EleutherAI/pythia-14m
design,design,Polysemy,0.21226634085178375,0.24213285744190216,-0.029866516590118408,EleutherAI/pythia-14m
dinner,dinner,Polysemy,0.11216973140835762,0.08813318610191345,0.024036545306444168,EleutherAI/pythia-14m
drain,drained,Polysemy,0.01577312871813774,0.09837959334254265,-0.08260646462440491,EleutherAI/pythia-14m
draw,drew,Polysemy,0.13895456492900848,0.0005257986485958099,0.13842876628041267,EleutherAI/pythia-14m
dream,dream,Polysemy,0.10299669951200485,0.1519261747598648,-0.048929475247859955,EleutherAI/pythia-14m
drill,drill,Homonymy,0.04574882239103317,0.02045919606462121,0.025289626326411963,EleutherAI/pythia-14m
examination,examination,Polysemy,-0.07315668836236,0.003792993724346161,-0.07694968208670616,EleutherAI/pythia-14m
fan,fan,Homonymy,0.043477075174450874,0.08774925768375397,-0.04427218250930309,EleutherAI/pythia-14m
file,file,Homonymy,0.2437945157289505,0.04528084583580494,0.19851366989314556,EleutherAI/pythia-14m
film,film,Polysemy,0.11638776119798422,0.09376072138547897,0.022627039812505245,EleutherAI/pythia-14m
fix,fixed,Polysemy,0.10142752714455128,0.053212993778288364,0.04821453336626291,EleutherAI/pythia-14m
foundation,foundation,Polysemy,0.11709823086857796,0.12142117880284786,-0.004322947934269905,EleutherAI/pythia-14m
function,function,Polysemy,0.14020857214927673,0.10017157718539238,0.040036994963884354,EleutherAI/pythia-14m
ground,ground,Polysemy,0.07476753368973732,0.07221218291670084,0.00255535077303648,EleutherAI/pythia-14m
guard,guard,Polysemy,0.15686661005020142,0.05303097516298294,0.10383563488721848,EleutherAI/pythia-14m
guide,guide,Polysemy,0.12377220764756203,0.15411512553691864,-0.030342917889356613,EleutherAI/pythia-14m
hail,hailed,Polysemy,0.08499075099825859,0.11083125323057175,-0.025840502232313156,EleutherAI/pythia-14m
