word,target_word,ambiguity_type,cosine_M1,cosine_M2,cosine_diff_M1_M2,model
act,act,Polysemy,0.0155068039894104,0.03399509750306606,-0.018488293513655663,EleutherAI/pythia-2.8b
appeal,appeal,Polysemy,0.0081587303429842,0.02995186159387231,-0.02179313125088811,EleutherAI/pythia-2.8b
atmosphere,atmosphere,Polysemy,0.06579679064452648,0.06542220991104841,0.0003745807334780693,EleutherAI/pythia-2.8b
bail,bailed,Homonymy,0.03929094225168228,0.035210223868489265,0.004080718383193016,EleutherAI/pythia-2.8b
band,band,Homonymy,-0.006021812558174133,0.07129586860537529,-0.07731768116354942,EleutherAI/pythia-2.8b
bank,banked,Homonymy,0.04462277656421065,0.14123531430959702,-0.09661253774538636,EleutherAI/pythia-2.8b
barrier,barrier,Polysemy,0.008924396359361708,0.022977177053689957,-0.014052780694328249,EleutherAI/pythia-2.8b
bat,bat,Homonymy,0.056121391244232655,0.08438073843717575,-0.028259347192943096,EleutherAI/pythia-2.8b
beam,beam,Polysemy,0.15682917833328247,0.00785977952182293,0.14896939881145954,EleutherAI/pythia-2.8b
block,block,Polysemy,0.02203729748725891,-0.004127270774915814,0.026164568262174726,EleutherAI/pythia-2.8b
blood,blood,Polysemy,0.025521045550704002,0.03515619784593582,-0.00963515229523182,EleutherAI/pythia-2.8b
board,board,Polysemy,0.0745902918279171,0.09380638226866722,-0.019216090440750122,EleutherAI/pythia-2.8b
book,book,Polysemy,0.08715800195932388,0.032130167819559574,0.05502783413976431,EleutherAI/pythia-2.8b
break,broke,Polysemy,0.02175059262663126,0.009269867558032274,0.012480725068598986,EleutherAI/pythia-2.8b
breakfast,breakfast,Polysemy,0.05117524694651365,0.04364837892353535,0.007526868022978306,EleutherAI/pythia-2.8b
call,called,Polysemy,0.003144294023513794,-0.0004418168682605028,0.0035861108917742968,EleutherAI/pythia-2.8b
cape,cape,Homonymy,0.037962963338941336,0.016029718797653913,0.021933244541287422,EleutherAI/pythia-2.8b
