sentence,homophone,condition,repeated,plural,target_token_surprisal,target_span_surprisal_sum,target_span_surprisal_mean,spillover_1_surprisal,spillover_2_surprisal,n_target_tokens,target_token_str,match_found,model,checkpoint,n_params
"The store sold many drinks including port, but Amy decided to only buy port because it was her favorite.",port,subordinate,yes,no,11.303533554077148,11.303533554077148,11.303533554077148,10.319401741027832,11.646486282348633,1, port,True,EleutherAI/pythia-70m,1,70426624
"The store sold many drinks, but Amy decided to only buy port because it was her favorite.",port,subordinate,no,no,11.252662658691406,11.252662658691406,11.252662658691406,10.238807678222656,11.678211212158203,1, port,True,EleutherAI/pythia-70m,1,70426624
"The last fish Marissa caught had brown scales, but the other fish had scales in every color of the rainbow.",scales,subordinate,yes,yes,10.550439834594727,10.550439834594727,10.550439834594727,11.073602676391602,11.182361602783203,1, scales,True,EleutherAI/pythia-70m,1,70426624
"The last fish Marissa caught was brown, but the other fish had scales in every color of the rainbow.",scales,subordinate,no,yes,10.4484224319458,10.4484224319458,10.4484224319458,11.17770767211914,11.200838088989258,1, scales,True,EleutherAI/pythia-70m,1,70426624
"Data can be displayed in a graph or table, but often a table makes results easier to understand.",table,subordinate,yes,no,11.55517578125,11.55517578125,11.55517578125,11.684864044189453,11.562850952148438,1, table,True,EleutherAI/pythia-70m,1,70426624
"Data can be displayed in different forms, but often a table makes results easier to understand.",table,subordinate,no,no,11.666369438171387,11.666369438171387,11.666369438171387,11.70462703704834,11.592630386352539,1, table,True,EleutherAI/pythia-70m,1,70426624
"From the stands, the new baseball diamond looked a lot larger than the old diamond that had been torn down.",diamond,subordinate,yes,no,10.307373046875,10.307373046875,10.307373046875,11.596055030822754,11.206154823303223,1, diamond,True,EleutherAI/pythia-70m,1,70426624
"From the stands, the new baseball field looked a lot larger than the old diamond that had been torn down.",diamond,subordinate,no,no,10.336579322814941,10.336579322814941,10.336579322814941,11.530435562133789,11.189364433288574,1, diamond,True,EleutherAI/pythia-70m,1,70426624
Mark was told to check the duck's feet and bill for injuries and to put a tag on its bill if it appeared fine.,bill,subordinate,yes,no,10.586326599121094,10.586326599121094,10.586326599121094,11.054664611816406,11.143345832824707,1, bill,True,EleutherAI/pythia-70m,1,70426624
Mark was told to check the duck's body for injuries and to put a tag on its bill if it appeared fine.,bill,subordinate,no,no,10.480941772460938,10.480941772460938,10.480941772460938,11.09380054473877,11.06576919555664,1, bill,True,EleutherAI/pythia-70m,1,70426624
