sentence,homophone,condition,repeated,plural,target_token_surprisal,target_span_surprisal_sum,target_span_surprisal_mean,spillover_1_surprisal,spillover_2_surprisal,n_target_tokens,target_token_str,match_found,model,checkpoint,n_params
"The store sold many drinks including port, but Amy decided to only buy port because it was her favorite.",port,subordinate,yes,no,4.493916988372803,4.493916988372803,4.493916988372803,3.185502052307129,2.3313307762145996,1, port,True,EleutherAI/pythia-410m,4000,405334016
"The store sold many drinks, but Amy decided to only buy port because it was her favorite.",port,subordinate,no,no,10.760892868041992,10.760892868041992,10.760892868041992,6.734903335571289,2.5558464527130127,1, port,True,EleutherAI/pythia-410m,4000,405334016
"The last fish Marissa caught had brown scales, but the other fish had scales in every color of the rainbow.",scales,subordinate,yes,yes,4.254942417144775,4.254942417144775,4.254942417144775,4.15818452835083,7.038307189941406,1, scales,True,EleutherAI/pythia-410m,4000,405334016
"The last fish Marissa caught was brown, but the other fish had scales in every color of the rainbow.",scales,subordinate,no,yes,8.276004791259766,8.276004791259766,8.276004791259766,3.8606300354003906,7.72421932220459,1, scales,True,EleutherAI/pythia-410m,4000,405334016
"Data can be displayed in a graph or table, but often a table makes results easier to understand.",table,subordinate,yes,no,3.0392704010009766,3.0392704010009766,3.0392704010009766,7.208486557006836,9.041350364685059,1, table,True,EleutherAI/pythia-410m,4000,405334016
"Data can be displayed in different forms, but often a table makes results easier to understand.",table,subordinate,no,no,6.507635116577148,6.507635116577148,6.507635116577148,7.354466915130615,9.61561393737793,1, table,True,EleutherAI/pythia-410m,4000,405334016
"From the stands, the new baseball diamond looked a lot larger than the old diamond that had been torn down.",diamond,subordinate,yes,no,4.031858444213867,4.031858444213867,4.031858444213867,3.676433563232422,2.007770299911499,1, diamond,True,EleutherAI/pythia-410m,4000,405334016
"From the stands, the new baseball field looked a lot larger than the old diamond that had been torn down.",diamond,subordinate,no,no,9.699712753295898,9.699712753295898,9.699712753295898,3.9702858924865723,2.2859737873077393,1, diamond,True,EleutherAI/pythia-410m,4000,405334016
Mark was told to check the duck's feet and bill for injuries and to put a tag on its bill if it appeared fine.,bill,subordinate,yes,no,4.326280117034912,4.326280117034912,4.326280117034912,4.3002166748046875,0.7354974746704102,1, bill,True,EleutherAI/pythia-410m,4000,405334016
Mark was told to check the duck's body for injuries and to put a tag on its bill if it appeared fine.,bill,subordinate,no,no,6.2849812507629395,6.2849812507629395,6.2849812507629395,4.8960490226745605,0.6960200667381287,1, bill,True,EleutherAI/pythia-410m,4000,405334016
