sentence,homophone,condition,repeated,plural,target_token_surprisal,target_span_surprisal_sum,target_span_surprisal_mean,spillover_1_surprisal,spillover_2_surprisal,n_target_tokens,target_token_str,match_found,model,checkpoint,n_params
"The store sold many drinks including port, but Amy decided to only buy port because it was her favorite.",port,subordinate,yes,no,8.761858940124512,8.761858940124512,8.761858940124512,8.379121780395508,2.572591781616211,1, port,True,EleutherAI/pythia-12b,256,11846072320
"The store sold many drinks, but Amy decided to only buy port because it was her favorite.",port,subordinate,no,no,8.816333770751953,8.816333770751953,8.816333770751953,8.591806411743164,2.571545124053955,1, port,True,EleutherAI/pythia-12b,256,11846072320
"The last fish Marissa caught had brown scales, but the other fish had scales in every color of the rainbow.",scales,subordinate,yes,yes,11.261844635009766,11.261844635009766,11.261844635009766,4.758932113647461,6.5312371253967285,1, scales,True,EleutherAI/pythia-12b,256,11846072320
"The last fish Marissa caught was brown, but the other fish had scales in every color of the rainbow.",scales,subordinate,no,yes,11.249605178833008,11.249605178833008,11.249605178833008,4.723690986633301,6.647095203399658,1, scales,True,EleutherAI/pythia-12b,256,11846072320
"Data can be displayed in a graph or table, but often a table makes results easier to understand.",table,subordinate,yes,no,7.290976047515869,7.290976047515869,7.290976047515869,8.637619972229004,8.740533828735352,1, table,True,EleutherAI/pythia-12b,256,11846072320
"Data can be displayed in different forms, but often a table makes results easier to understand.",table,subordinate,no,no,7.497292518615723,7.497292518615723,7.497292518615723,8.70490837097168,8.47437858581543,1, table,True,EleutherAI/pythia-12b,256,11846072320
"From the stands, the new baseball diamond looked a lot larger than the old diamond that had been torn down.",diamond,subordinate,yes,no,11.48257827758789,11.48257827758789,11.48257827758789,5.077001571655273,5.723476886749268,1, diamond,True,EleutherAI/pythia-12b,256,11846072320
"From the stands, the new baseball field looked a lot larger than the old diamond that had been torn down.",diamond,subordinate,no,no,11.474181175231934,11.474181175231934,11.474181175231934,5.099645614624023,5.88926887512207,1, diamond,True,EleutherAI/pythia-12b,256,11846072320
Mark was told to check the duck's feet and bill for injuries and to put a tag on its bill if it appeared fine.,bill,subordinate,yes,no,8.539051055908203,8.539051055908203,8.539051055908203,6.85113000869751,2.5918755531311035,1, bill,True,EleutherAI/pythia-12b,256,11846072320
Mark was told to check the duck's body for injuries and to put a tag on its bill if it appeared fine.,bill,subordinate,no,no,8.490577697753906,8.490577697753906,8.490577697753906,6.68154239654541,2.611513614654541,1, bill,True,EleutherAI/pythia-12b,256,11846072320
Kara's loud neighbors made so much racket that it made the racket her kids were making seem like nothing.,racket,subordinate,yes,no,11.721412658691406,11.721412658691406,11.721412658691406,8.949382781982422,8.066591262817383,1, racket,True,EleutherAI/pythia-12b,256,11846072320
Kara's loud neighbors made so much noise that it made the racket her kids were making seem like nothing.,racket,subordinate,no,no,11.727544784545898,11.727544784545898,11.727544784545898,9.012216567993164,8.068233489990234,1, racket,True,EleutherAI/pythia-12b,256,11846072320
"Susan's job was to clean the stall and pen every day, which was easy except that the pen was a mess.",pen,subordinate,yes,no,10.258522033691406,10.258522033691406,10.258522033691406,3.8399386405944824,3.3075573444366455,1, pen,True,EleutherAI/pythia-12b,256,11846072320
"Susan's job was to clean the barn each day, which was easy except that the pen was a mess.",pen,subordinate,no,no,10.342554092407227,10.342554092407227,10.342554092407227,3.701906442642212,3.2315399646759033,1, pen,True,EleutherAI/pythia-12b,256,11846072320
"The votes between disco and ball for the dance theme were close, but in the end the ball won the vote.",ball,subordinate,yes,no,8.180191993713379,8.180191993713379,8.180191993713379,9.919034957885742,2.849522113800049,1, ball,True,EleutherAI/pythia-12b,256,11846072320
"The votes for the dance theme were close, but in the end the ball won the vote.",ball,subordinate,no,no,8.289525985717773,8.289525985717773,8.289525985717773,9.799275398254395,2.7447826862335205,1, ball,True,EleutherAI/pythia-12b,256,11846072320
"When Joe found the flooded bank, he grabbed his boots before walking along the bank to work.",bank,subordinate,yes,no,8.109611511230469,8.109611511230469,8.109611511230469,4.875293731689453,5.867912292480469,1, bank,True,EleutherAI/pythia-12b,256,11846072320
"When Joe found the flooded river, he grabbed his boots before walking along the bank to work.",bank,subordinate,no,no,8.186416625976562,8.186416625976562,8.186416625976562,4.9221954345703125,5.819998741149902,1, bank,True,EleutherAI/pythia-12b,256,11846072320
At the museum the kids saw the machine for sending a wire and each student sent a wire to a friend.,wire,subordinate,yes,no,9.238668441772461,9.238668441772461,9.238668441772461,4.918857574462891,2.3338537216186523,1, wire,True,EleutherAI/pythia-12b,256,11846072320
At the museum the kids saw the machine for sending a telegram and each student sent a wire to a friend.,wire,subordinate,no,no,9.212501525878906,9.212501525878906,9.212501525878906,4.929648399353027,2.3100695610046387,1, wire,True,EleutherAI/pythia-12b,256,11846072320
"The hunting lodge was full of antlers and horns, but most impressive was the rhino horn hanging on the wall.",horn,subordinate,yes,no,12.492698669433594,12.492698669433594,12.492698669433594,11.233654022216797,4.032739639282227,1, horn,True,EleutherAI/pythia-12b,256,11846072320
"The hunting lodge was full of trophies, but most impressive was the rhino horn hanging on the wall.",horn,subordinate,no,no,12.579700469970703,12.579700469970703,12.579700469970703,11.14199161529541,4.057826995849609,1, horn,True,EleutherAI/pythia-12b,256,11846072320
"Jamie wanted to go on a tour of the treasury and the mint, but on Mondays the mint was closed to the public.",mint,subordinate,yes,no,10.93304443359375,10.93304443359375,10.93304443359375,4.563566207885742,7.964088439941406,1, mint,True,EleutherAI/pythia-12b,256,11846072320
"Jamie wanted to go on a tour of where money is made, but on Mondays the mint was closed to the public.",mint,subordinate,no,no,11.027374267578125,11.027374267578125,11.027374267578125,6.010715484619141,7.661670684814453,1, mint,True,EleutherAI/pythia-12b,256,11846072320
Pam had to decide whether to fly first-class or coach; she decided to fly coach because the ticket was cheaper.,coach,subordinate,yes,no,10.771016120910645,10.771016120910645,10.771016120910645,6.508424282073975,2.4053585529327393,1, coach,True,EleutherAI/pythia-12b,256,11846072320
Pam had to decide whether or not to fly in first-class; she decided to fly coach because the ticket was cheaper.,coach,subordinate,no,no,10.825101852416992,10.825101852416992,10.825101852416992,6.592820644378662,2.426095485687256,1, coach,True,EleutherAI/pythia-12b,256,11846072320
"To tend a hot fire, it's best to use a stick or a poker, but when it's really hot a metal poker can burn you.",poker,subordinate,yes,no,12.078798294067383,12.078798294067383,12.078798294067383,6.163315773010254,9.781196594238281,1, poker,True,EleutherAI/pythia-12b,256,11846072320
"To tend a hot fire, it's best to use a stick or tool, but when it's really hot a metal poker can burn you.",poker,subordinate,no,no,11.953397750854492,11.953397750854492,11.953397750854492,6.2674713134765625,9.824843406677246,1, poker,True,EleutherAI/pythia-12b,256,11846072320
"Even though the pet store had cute huskies and boxers, John had no difficulty picking the boxer puppy for his son.",boxer,subordinate,yes,no,7.981607913970947,16.282503604888916,8.141251802444458,12.274120330810547,4.977859020233154,2, boxer,True,EleutherAI/pythia-12b,256,11846072320
"Even though the pet store had many cute puppies, John had no difficulty picking the boxer puppy for his son.",boxer,subordinate,no,no,7.382189750671387,15.624321937561035,7.812160968780518,12.301125526428223,5.576339244842529,2, boxer,True,EleutherAI/pythia-12b,256,11846072320
"The president began the meeting with his cabinet and advisors, but only the cabinet was allowed to stay for the end.",cabinet,subordinate,yes,no,9.626578330993652,9.626578330993652,9.626578330993652,4.620802402496338,7.006556987762451,1, cabinet,True,EleutherAI/pythia-12b,256,11846072320
"The president began the meeting with all his advisors, but only the cabinet was allowed to stay for the end.",cabinet,subordinate,no,no,9.56277084350586,9.56277084350586,9.56277084350586,4.854389190673828,7.081886291503906,1, cabinet,True,EleutherAI/pythia-12b,256,11846072320
"Martin saw the perfect engagement ring and wedding band set, but was disappointed when the band was sold out.",band,subordinate,yes,no,7.601127624511719,7.601127624511719,7.601127624511719,2.855132818222046,7.08566951751709,1, band,True,EleutherAI/pythia-12b,256,11846072320
"Martin saw the perfect engagement ring set, but was disappointed when the band was sold out.",band,subordinate,no,no,7.657209396362305,7.657209396362305,7.657209396362305,2.829989433288574,7.121098518371582,1, band,True,EleutherAI/pythia-12b,256,11846072320
"On the flute certain notes are hard to play, but they are not as bad as the same notes on the oboe.",notes,subordinate,yes,yes,9.958921432495117,9.958921432495117,9.958921432495117,5.1497626304626465,1.2567328214645386,1, notes,True,EleutherAI/pythia-12b,256,11846072320
"On the flute certain sounds are hard to play, but they are not as bad as the same notes on the oboe.",notes,subordinate,no,yes,10.040386199951172,10.040386199951172,10.040386199951172,5.111408233642578,1.2442092895507812,1, notes,True,EleutherAI/pythia-12b,256,11846072320
"The sound problem could only be due to either the speaker or the cable, it turned out that the speaker was broken.",speaker,subordinate,yes,no,9.54431438446045,9.54431438446045,9.54431438446045,4.759979248046875,8.009756088256836,1, speaker,True,EleutherAI/pythia-12b,256,11846072320
"The sound problem could only be due to a few things, it turned out that the speaker was broken.",speaker,subordinate,no,no,9.60004711151123,9.60004711151123,9.60004711151123,4.76054048538208,7.903378486633301,1, speaker,True,EleutherAI/pythia-12b,256,11846072320
