sentence,homophone,condition,repeated,plural,target_token_surprisal,target_span_surprisal_sum,target_span_surprisal_mean,spillover_1_surprisal,spillover_2_surprisal,n_target_tokens,target_token_str,match_found,model,checkpoint,n_params
"The store sold many drinks including port, but Amy decided to only buy port because it was her favorite.",port,subordinate,yes,no,6.059133052825928,6.059133052825928,6.059133052825928,4.195132255554199,2.3219656944274902,1, port,True,EleutherAI/pythia-12b,2000,11846072320
"The store sold many drinks, but Amy decided to only buy port because it was her favorite.",port,subordinate,no,no,10.553564071655273,10.553564071655273,10.553564071655273,8.52572250366211,2.6177215576171875,1, port,True,EleutherAI/pythia-12b,2000,11846072320
"The last fish Marissa caught had brown scales, but the other fish had scales in every color of the rainbow.",scales,subordinate,yes,yes,6.326422691345215,6.326422691345215,6.326422691345215,3.446094274520874,5.810284614562988,1, scales,True,EleutherAI/pythia-12b,2000,11846072320
"The last fish Marissa caught was brown, but the other fish had scales in every color of the rainbow.",scales,subordinate,no,yes,8.292160987854004,8.292160987854004,8.292160987854004,2.977224826812744,6.784513473510742,1, scales,True,EleutherAI/pythia-12b,2000,11846072320
"Data can be displayed in a graph or table, but often a table makes results easier to understand.",table,subordinate,yes,no,4.248942852020264,4.248942852020264,4.248942852020264,7.835765361785889,9.217941284179688,1, table,True,EleutherAI/pythia-12b,2000,11846072320
"Data can be displayed in different forms, but often a table makes results easier to understand.",table,subordinate,no,no,6.2451677322387695,6.2451677322387695,6.2451677322387695,8.251651763916016,9.447196006774902,1, table,True,EleutherAI/pythia-12b,2000,11846072320
"From the stands, the new baseball diamond looked a lot larger than the old diamond that had been torn down.",diamond,subordinate,yes,no,2.0428647994995117,2.0428647994995117,2.0428647994995117,5.3991475105285645,1.806287407875061,1, diamond,True,EleutherAI/pythia-12b,2000,11846072320
"From the stands, the new baseball field looked a lot larger than the old diamond that had been torn down.",diamond,subordinate,no,no,7.857695579528809,7.857695579528809,7.857695579528809,6.4135236740112305,1.8381943702697754,1, diamond,True,EleutherAI/pythia-12b,2000,11846072320
Mark was told to check the duck's feet and bill for injuries and to put a tag on its bill if it appeared fine.,bill,subordinate,yes,no,5.590156555175781,5.590156555175781,5.590156555175781,6.324557304382324,1.0567203760147095,1, bill,True,EleutherAI/pythia-12b,2000,11846072320
Mark was told to check the duck's body for injuries and to put a tag on its bill if it appeared fine.,bill,subordinate,no,no,7.947340965270996,7.947340965270996,7.947340965270996,7.478123664855957,0.9644080996513367,1, bill,True,EleutherAI/pythia-12b,2000,11846072320
Kara's loud neighbors made so much racket that it made the racket her kids were making seem like nothing.,racket,subordinate,yes,no,6.949796676635742,6.949796676635742,6.949796676635742,8.540470123291016,6.5148820877075195,1, racket,True,EleutherAI/pythia-12b,2000,11846072320
Kara's loud neighbors made so much noise that it made the racket her kids were making seem like nothing.,racket,subordinate,no,no,8.77979850769043,8.77979850769043,8.77979850769043,9.389690399169922,6.736471652984619,1, racket,True,EleutherAI/pythia-12b,2000,11846072320
"Susan's job was to clean the stall and pen every day, which was easy except that the pen was a mess.",pen,subordinate,yes,no,5.454930305480957,5.454930305480957,5.454930305480957,0.8034254312515259,3.8106675148010254,1, pen,True,EleutherAI/pythia-12b,2000,11846072320
"Susan's job was to clean the barn each day, which was easy except that the pen was a mess.",pen,subordinate,no,no,9.36241626739502,9.36241626739502,9.36241626739502,0.8189551830291748,4.240571022033691,1, pen,True,EleutherAI/pythia-12b,2000,11846072320
"The votes between disco and ball for the dance theme were close, but in the end the ball won the vote.",ball,subordinate,yes,no,4.200855731964111,4.200855731964111,4.200855731964111,5.344392776489258,1.713818907737732,1, ball,True,EleutherAI/pythia-12b,2000,11846072320
"The votes for the dance theme were close, but in the end the ball won the vote.",ball,subordinate,no,no,7.526080131530762,7.526080131530762,7.526080131530762,5.65093994140625,1.7605419158935547,1, ball,True,EleutherAI/pythia-12b,2000,11846072320
"When Joe found the flooded bank, he grabbed his boots before walking along the bank to work.",bank,subordinate,yes,no,1.766858458518982,1.766858458518982,1.766858458518982,2.762104034423828,5.121794700622559,1, bank,True,EleutherAI/pythia-12b,2000,11846072320
