sentence,homophone,condition,repeated,plural,target_token_surprisal,target_span_surprisal_sum,target_span_surprisal_mean,spillover_1_surprisal,spillover_2_surprisal,n_target_tokens,target_token_str,match_found,model,checkpoint,n_params
"The store sold many drinks including port, but Amy decided to only buy port because it was her favorite.",port,subordinate,yes,no,11.265836715698242,11.265836715698242,11.265836715698242,10.483598709106445,9.54084587097168,1, port,True,EleutherAI/pythia-160m,32,162322944
"The store sold many drinks, but Amy decided to only buy port because it was her favorite.",port,subordinate,no,no,11.294661521911621,11.294661521911621,11.294661521911621,10.45770263671875,9.531675338745117,1, port,True,EleutherAI/pythia-160m,32,162322944
"The last fish Marissa caught had brown scales, but the other fish had scales in every color of the rainbow.",scales,subordinate,yes,yes,10.460027694702148,10.460027694702148,10.460027694702148,8.120017051696777,11.824857711791992,1, scales,True,EleutherAI/pythia-160m,32,162322944
"The last fish Marissa caught was brown, but the other fish had scales in every color of the rainbow.",scales,subordinate,no,yes,10.466509819030762,10.466509819030762,10.466509819030762,8.10381031036377,11.84334659576416,1, scales,True,EleutherAI/pythia-160m,32,162322944
"Data can be displayed in a graph or table, but often a table makes results easier to understand.",table,subordinate,yes,no,11.889019012451172,11.889019012451172,11.889019012451172,11.298454284667969,11.046603202819824,1, table,True,EleutherAI/pythia-160m,32,162322944
"Data can be displayed in different forms, but often a table makes results easier to understand.",table,subordinate,no,no,11.81028938293457,11.81028938293457,11.81028938293457,11.343503952026367,11.096526145935059,1, table,True,EleutherAI/pythia-160m,32,162322944
"From the stands, the new baseball diamond looked a lot larger than the old diamond that had been torn down.",diamond,subordinate,yes,no,11.165560722351074,11.165560722351074,11.165560722351074,8.755868911743164,10.389806747436523,1, diamond,True,EleutherAI/pythia-160m,32,162322944
"From the stands, the new baseball field looked a lot larger than the old diamond that had been torn down.",diamond,subordinate,no,no,11.217576026916504,11.217576026916504,11.217576026916504,8.745657920837402,10.396749496459961,1, diamond,True,EleutherAI/pythia-160m,32,162322944
Mark was told to check the duck's feet and bill for injuries and to put a tag on its bill if it appeared fine.,bill,subordinate,yes,no,9.936422348022461,9.936422348022461,9.936422348022461,11.079476356506348,9.159806251525879,1, bill,True,EleutherAI/pythia-160m,32,162322944
Mark was told to check the duck's body for injuries and to put a tag on its bill if it appeared fine.,bill,subordinate,no,no,9.96963119506836,9.96963119506836,9.96963119506836,11.070320129394531,9.191455841064453,1, bill,True,EleutherAI/pythia-160m,32,162322944
Kara's loud neighbors made so much racket that it made the racket her kids were making seem like nothing.,racket,subordinate,yes,no,10.30257797241211,10.30257797241211,10.30257797241211,10.521312713623047,10.526611328125,1, racket,True,EleutherAI/pythia-160m,32,162322944
Kara's loud neighbors made so much noise that it made the racket her kids were making seem like nothing.,racket,subordinate,no,no,10.298580169677734,10.298580169677734,10.298580169677734,10.520757675170898,10.581686973571777,1, racket,True,EleutherAI/pythia-160m,32,162322944
"Susan's job was to clean the stall and pen every day, which was easy except that the pen was a mess.",pen,subordinate,yes,no,11.148645401000977,11.148645401000977,11.148645401000977,10.012388229370117,7.1033034324646,1, pen,True,EleutherAI/pythia-160m,32,162322944
"Susan's job was to clean the barn each day, which was easy except that the pen was a mess.",pen,subordinate,no,no,11.148387908935547,11.148387908935547,11.148387908935547,10.021730422973633,7.056471824645996,1, pen,True,EleutherAI/pythia-160m,32,162322944
"The votes between disco and ball for the dance theme were close, but in the end the ball won the vote.",ball,subordinate,yes,no,11.049989700317383,11.049989700317383,11.049989700317383,11.921260833740234,5.360526084899902,1, ball,True,EleutherAI/pythia-160m,32,162322944
"The votes for the dance theme were close, but in the end the ball won the vote.",ball,subordinate,no,no,10.956153869628906,10.956153869628906,10.956153869628906,11.868009567260742,5.2878618240356445,1, ball,True,EleutherAI/pythia-160m,32,162322944
"When Joe found the flooded bank, he grabbed his boots before walking along the bank to work.",bank,subordinate,yes,no,10.248416900634766,10.248416900634766,10.248416900634766,7.274553298950195,11.084375381469727,1, bank,True,EleutherAI/pythia-160m,32,162322944
"When Joe found the flooded river, he grabbed his boots before walking along the bank to work.",bank,subordinate,no,no,10.234943389892578,10.234943389892578,10.234943389892578,7.272337913513184,11.1044282913208,1, bank,True,EleutherAI/pythia-160m,32,162322944
At the museum the kids saw the machine for sending a wire and each student sent a wire to a friend.,wire,subordinate,yes,no,11.625459671020508,11.625459671020508,11.625459671020508,6.98345422744751,7.09166145324707,1, wire,True,EleutherAI/pythia-160m,32,162322944
At the museum the kids saw the machine for sending a telegram and each student sent a wire to a friend.,wire,subordinate,no,no,11.621773719787598,11.621773719787598,11.621773719787598,6.9926533699035645,7.08619499206543,1, wire,True,EleutherAI/pythia-160m,32,162322944
"The hunting lodge was full of antlers and horns, but most impressive was the rhino horn hanging on the wall.",horn,subordinate,yes,no,11.00289535522461,11.00289535522461,11.00289535522461,11.28793716430664,9.648482322692871,1, horn,True,EleutherAI/pythia-160m,32,162322944
