Word,Bigram,Conc.M,Conc.SD,Unknown,Total,Percent_known,SUBTLEX,Dom_Pos,word,log_freq,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,subject,survey_code,stimulus,key_press,sensible,critical,Class,practice,order,string,same,version_with_order,item_version,item,source,ambiguity_type,response,correct_response,Gender,Native_Speaker,Mobile_Device,Age,B1,B2,version,bot_avg,log_rt,rt_z,count.x,prior_accuracy,prior_rt,distance_bert,distance_elmo,mean_relatedness,median_relatedness,sd_relatedness,se_relatedness,count.y,length
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,681,NA,html-keyboard-response,201,1608585,0.0-96.0-1.0,p6sjwambv5,p6sjwambv5,It was a reddish orange.<p>,77,S,yes,N,main,second,orange,TRUE,M2_a_M2_b,M2_b,28,Klepousniotou et al (2008),Polysemy,S,TRUE,Female,Yes,No,20,2,Chair,M2_a_M2_b,1,6.523562306,-0.245669829,55,0.733333333,7.39930619,0.122556508,0.056215107,4,4,0,0,9,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,2586,NA,html-keyboard-response,89,158997,0.0-40.0-1.0,6q4hq77m9w,6q4hq77m9w,It was a bright orange.<p>,88,S,yes,N,main,second,orange,FALSE,M1_b_M2_a,M2_a,28,Klepousniotou et al (2008),Polysemy,N,FALSE,Female,Yes,No,19,2,Chair,M1_b_M2_a,1,7.857867559,2.877408509,55,0.708333333,7.278541942,0.236619532,0.085292876,2.5,3,1.603567451,0.56694671,8,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,886,NA,html-keyboard-response,201,332741,0.0-96.0-1.0,jj7a1scfwp,jj7a1scfwp,It was a juicy orange.<p>,77,S,yes,N,main,second,orange,TRUE,M1_b_M1_a,M1_a,28,Klepousniotou et al (2008),Polysemy,S,TRUE,Female,Yes,No,22,2,Chair,M1_a_M1_b,1,6.786716951,-0.675439807,56,0.84,7.137126045,0.083839953,0.051941872,3.65,4,0.988086934,0.220942955,20,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,573,NA,html-keyboard-response,199,293406,0.0-95.0-1.0,58gx6ndvmy,58gx6ndvmy,It was a ripe orange.<p>,77,S,yes,N,main,second,orange,TRUE,M1_a_M1_b,M1_b,28,Klepousniotou et al (2008),Polysemy,S,TRUE,Female,Yes,No,24,2,Chair,M1_a_M1_b,1,6.350885717,-1.084920009,53,1,7.197894077,0.083839953,0.051941872,3.65,4,0.988086934,0.220942955,20,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,927,NA,html-keyboard-response,109,267780,0.0-50.0-1.0,gx5vrosqc0,gx5vrosqc0,It was a reddish orange.<p>,77,S,yes,N,main,second,orange,FALSE,M1_a_M2_b,M2_b,28,Klepousniotou et al (2008),Polysemy,S,TRUE,Female,Yes,No,18,2,Chair,M1_a_M2_b,1,6.831953566,-0.11597439,55,0.733333333,7.39930619,0.273911238,0.052660882,1,0,1.414213562,0.471404521,9,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,2097,NA,html-keyboard-response,125,366693,0.0-58.0-1.0,nj6f2gbtfr,nj6f2gbtfr,It was a juicy orange.<p>,77,S,yes,N,main,second,orange,FALSE,M2_b_M1_a,M1_a,28,Klepousniotou et al (2008),Polysemy,S,TRUE,Female,Yes,No,20,2,Chair,M1_a_M2_b,1,7.648263031,-0.150972786,55,0.84,7.137126045,0.273911238,0.052660882,1,0,1.414213562,0.471404521,9,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,835,NA,html-keyboard-response,31,65816,0.0-11.0-1.0,d1yqpp5ft6,d1yqpp5ft6,It was a juicy orange.<p>,77,S,yes,N,main,second,orange,FALSE,M2_b_M1_a,M1_a,28,Klepousniotou et al (2008),Polysemy,S,TRUE,Female,Yes,No,21,2,Chair,M1_a_M2_b,1,6.727431725,-0.561564743,55,0.84,7.137126045,0.273911238,0.052660882,1,0,1.414213562,0.471404521,9,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,830,NA,html-keyboard-response,93,118635,0.0-42.0-1.0,9gxgaxtm5x,9gxgaxtm5x,It was a ripe orange.<p>,77,S,yes,N,main,second,orange,FALSE,M2_a_M1_b,M1_b,28,Klepousniotou et al (2008),Polysemy,S,TRUE,Male,Yes,No,20,2,Chair,M1_b_M2_a,1,6.721425701,0.037897259,54,1,7.197894077,0.236619532,0.085292876,2.5,3,1.603567451,0.56694671,8,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,954,NA,html-keyboard-response,233,421422,0.0-112.0-1.0,rgvk0o8d28,rgvk0o8d28,It was a ripe orange.<p>,77,S,yes,N,main,second,orange,FALSE,M2_b_M1_b,M1_b,28,Klepousniotou et al (2008),Polysemy,S,TRUE,Female,Yes,No,20,2,Chair,M1_b_M2_b,1,6.860663671,-0.385520183,54,1,7.197894077,0.226773024,0.090670049,1.916666667,1.5,1.621353718,0.468044503,12,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,846,NA,html-keyboard-response,159,274067,0.0-75.0-1.0,5npfhfl3pe,5npfhfl3pe,It was a reddish orange.<p>,88,S,yes,N,main,second,orange,FALSE,M1_b_M2_b,M2_b,28,Klepousniotou et al (2008),Polysemy,N,FALSE,Female,Yes,No,23,2,Chair,M1_b_M2_b,1,6.74051936,-0.854585362,55,0.733333333,7.39930619,0.226773024,0.090670049,1.916666667,1.5,1.621353718,0.468044503,12,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,891,NA,html-keyboard-response,167,359324,0.0-79.0-1.0,saqatrabon,saqatrabon,It was a bright orange.<p>,77,S,yes,N,main,second,orange,FALSE,M1_b_M2_a,M2_a,28,Klepousniotou et al (2008),Polysemy,S,TRUE,Female,Yes,No,22,2,Chair,M1_b_M2_a,1,6.792344427,-0.253729622,54,0.708333333,7.278541942,0.236619532,0.085292876,2.5,3,1.603567451,0.56694671,8,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,738,NA,html-keyboard-response,41,53499,0.0-16.0-1.0,j1yxakovsl,j1yxakovsl,It was a reddish orange.<p>,88,S,yes,N,main,second,orange,FALSE,M1_b_M2_b,M2_b,28,Klepousniotou et al (2008),Polysemy,N,FALSE,Male,Yes,No,21,2,Chair,M1_b_M2_b,1,6.603943825,-0.516278733,56,0.733333333,7.39930619,0.226773024,0.090670049,1.916666667,1.5,1.621353718,0.468044503,12,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,1015,NA,html-keyboard-response,33,80897,0.0-12.0-1.0,mvljd1nkwy,mvljd1nkwy,It was a bright orange.<p>,77,S,yes,N,main,second,orange,FALSE,M1_a_M2_a,M2_a,28,Klepousniotou et al (2008),Polysemy,S,TRUE,Female,Yes,No,21,2,Chair,M1_a_M2_a,1,6.922643891,-0.344493469,54,0.708333333,7.278541942,0.307211459,0.065273941,2,2,1.763834207,0.404651319,19,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,726,NA,html-keyboard-response,229,256112,0.0-110.0-1.0,0w79pn4dga,0w79pn4dga,It was a juicy orange.<p>,77,S,yes,N,main,second,orange,TRUE,M1_b_M1_a,M1_a,28,Klepousniotou et al (2008),Polysemy,S,TRUE,Female,Yes,No,18,2,Chair,M1_a_M1_b,1,6.587550015,-0.664013735,55,0.84,7.137126045,0.083839953,0.051941872,3.65,4,0.988086934,0.220942955,20,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,831,NA,html-keyboard-response,191,200940,0.0-91.0-1.0,o5ssvm95jn,o5ssvm95jn,It was a juicy orange.<p>,77,S,yes,N,main,second,orange,FALSE,M2_b_M1_a,M1_a,28,Klepousniotou et al (2008),Polysemy,S,TRUE,Female,Yes,No,18,2,Chair,M1_a_M2_b,1,6.722629795,-0.220883929,55,0.84,7.137126045,0.273911238,0.052660882,1,0,1.414213562,0.471404521,9,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,1111,NA,html-keyboard-response,49,76091,0.0-20.0-1.0,7jjpqyasyu,7jjpqyasyu,It was a ripe orange.<p>,77,S,yes,N,main,second,orange,FALSE,M2_a_M1_b,M1_b,28,Klepousniotou et al (2008),Polysemy,S,TRUE,Female,Yes,No,20,2,Chair,M1_b_M2_a,1,7.01301579,-0.013673636,55,1,7.197894077,0.236619532,0.085292876,2.5,3,1.603567451,0.56694671,8,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,2032,NA,html-keyboard-response,217,340030,0.0-104.0-1.0,8p0ssrkfdq,8p0ssrkfdq,It was a juicy orange.<p>,88,S,yes,N,main,second,orange,FALSE,M2_b_M1_a,M1_a,28,Klepousniotou et al (2008),Polysemy,N,FALSE,Female,Yes,No,20,2,Chair,M1_a_M2_b,1,7.616775809,2.349097651,55,0.84,7.137126045,0.273911238,0.052660882,1,0,1.414213562,0.471404521,9,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,992,NA,html-keyboard-response,77,200271,0.0-34.0-1.0,a3exattj4d,a3exattj4d,It was a ripe orange.<p>,88,S,yes,N,main,second,orange,FALSE,M2_b_M1_b,M1_b,28,Klepousniotou et al (2008),Polysemy,N,FALSE,Female,Yes,No,23,2,Chair,M1_b_M2_b,1,6.899723107,-0.822435349,55,1,7.197894077,0.226773024,0.090670049,1.916666667,1.5,1.621353718,0.468044503,12,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,762,NA,html-keyboard-response,135,195097,0.0-63.0-1.0,3d7g1w4cep,3d7g1w4cep,It was a juicy orange.<p>,77,S,yes,N,main,second,orange,TRUE,M1_b_M1_a,M1_a,28,Klepousniotou et al (2008),Polysemy,S,TRUE,Female,Yes,No,21,2,Chair,M1_a_M1_b,1,6.635946556,-1.039182774,55,0.84,7.137126045,0.083839953,0.051941872,3.65,4,0.988086934,0.220942955,20,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,1121,NA,html-keyboard-response,69,157283,0.0-30.0-1.0,06za8waveg,06za8waveg,It was a ripe orange.<p>,77,S,yes,N,main,second,orange,FALSE,M2_a_M1_b,M1_b,28,Klepousniotou et al (2008),Polysemy,S,TRUE,Male,Yes,No,18,2,Chair,M1_b_M2_a,1,7.021976423,-0.13921917,56,1,7.197894077,0.236619532,0.085292876,2.5,3,1.603567451,0.56694671,8,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,858,NA,html-keyboard-response,233,272188,0.0-112.0-1.0,3vcblonzp2,3vcblonzp2,It was a ripe orange.<p>,77,S,yes,N,main,second,orange,FALSE,M2_b_M1_b,M1_b,28,Klepousniotou et al (2008),Polysemy,S,TRUE,Female,Yes,No,21,2,Chair,M1_b_M2_b,1,6.754604099,-0.197898189,50,1,7.197894077,0.226773024,0.090670049,1.916666667,1.5,1.621353718,0.468044503,12,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,555,NA,html-keyboard-response,233,341213,0.0-112.0-1.0,5d4ec1q0jx,5d4ec1q0jx,It was a ripe orange.<p>,77,S,yes,N,main,second,orange,TRUE,M1_a_M1_b,M1_b,28,Klepousniotou et al (2008),Polysemy,S,TRUE,Female,Yes,No,20,2,Chair,M1_a_M1_b,1,6.318968114,-0.354820333,43,1,7.197894077,0.083839953,0.051941872,3.65,4,0.988086934,0.220942955,20,6
